international inc qtr jan,oper shr loss two cts vs profit seven cts oper shr profit vs profit revs mln vs mln avg shrs mln vs mln six mths oper shr profit nil vs profit cts oper net profit vs profit revs mln vs mln avg shrs mln vs mln per shr calculated payment preferred dividends results exclude credits four cts nine cts qtr six mths vs six cts cts prior periods operating loss carryforwards
inc qtr net,shr one dlr vs cts net mln vs mln revs mln vs mln nine mths shr dlrs vs dlrs net mln vs mln revs billion vs mln
national offer permian units,national intergroup inc said plans file registration statement securities exchange commission offering cumulative convertible preferred partnership units permian partners l p permian partners l p recently formed national intergroup continue business permian corp acquired company company said permian continue manage business general partner retaining pct stake partnership form common general partnership units say many units would offered price would
economic spotlight bankamerica,bankamerica corp pressure act quickly proposed equity offering would well delay recent poor performance banking analysts said analysts said recommended bankamerica delay equity offering yet approved securities exchange commission bankamerica stock fell week along banking issues news brazil suspended interest payments large portion foreign debt stock traded around afternoon falling earlier week news banking analysts said immediate threat first interstate bancorp takeover bid gone bankamerica pressure sell securities market nervous bank stocks near term bankamerica filed offer january seen one major factors leading first interstate withdrawing takeover bid february bankamerica spokesman said sec approval taking longer expected market conditions must circumstances time determine said arthur miller vice president financial communications asked bankamerica would proceed offer immediately receives sec approval put long conceivably could said lawrence cohn analyst merrill lynch pierce fenner smith cohn said longer bankamerica waits longer show market improved financial outlook although bankamerica yet specify types equities would offer analysts believed convertible preferred stock would encompass least part offering depressed stock price would mean lower conversion price dilution bankamerica stock holders noted daniel williams analyst sutro group several analysts said believe brazilian debt problem continue hang banking industry quarter initial shock reaction likely ease coming weeks nevertheless bankamerica holds billion dlrs brazilian loans stands lose mln dlrs interest rate reduced debt much mln dlrs brazil pays interest year said joseph arsenio analyst birr wilson co noted however potential losses would show current quarter major banks standing lose even bankamerica brazil fails service debt analysts said expect debt restructured similar way debt minimizing losses creditor banks
national health enhancement new program,national health enhancement systems inc said offering new health evaluation system line fitness assessment programs company said program called health test available days customers use program receive report recommendations implementing program improve physical condition
dean foods sees strong qtr earnings,dean foods co expects earnings fourth quarter ending may exceed period chairman kenneth douglas told analysts fiscal fourth quarter food processor reported earnings cts share douglas also said sales exceed billion dlrs billion dlrs prior year repeated earlier projection earnings probably slightly last cts share falling range cts cts share douglas said early project whether anticipated fourth quarter performance would enough us exceed prior overall earnings dlrs share douglas said dean experience pct improvement bottom line effects tax reform act alone president howard dean said fiscal company derive benefits various dairy frozen vegetable acquisitions ryan milk larsen co dean also said company benefit acquisition late december elgin blenders inc west chicago said company major shareholder e b foods ltd united kingdom blender licensing arrangements australia canada brazil japan provides ann entry mcdonalds corp mcd years douglas told analysts
bonus wheat flour north yemen usda,commodity credit corporation ccc accepted export bonus offer cover sale long tons wheat flour north yemen u agriculture department said wheat four shipment bonus awarded dlrs per tonnes paid form commodities ccc inventory bonus awarded pillsbury company wheat flour purchases complete export enhancement program initiative announced april said
credit card disclosure bills introduced,legislation require disclosure credit card fees interest rates cards issued introduced senate house sen chris dodd bill said many banks financial institutions disclose information terms cards promotional material sent prospective customers requiring card issuers disclose terms conditions cards time solicitation legislation intended arm consumers enough information shop around best deal dodd said statement
hughes capital unit signs pact bear stearns,hughes conserdyne corp unit hughes capital corp said made bear stearns co inc bsc exclusive investment banker develop market financing design installation systems municipalities company said systems electrical generating facilities using alternate power sources photovoltaic cells replace public utility power sources
magma lowers copper cent cts,magma copper co subsidiary newmont mining corp said cutting copper cathode price cent cents lb effective immediately
sets stock ups payout,inc said board approved stock split pct increase company cash dividend company cited improved earnings outlook continued strong cash flow reasons raising dividend said split class class b common shares would effective march company said directors declared quarterly cash dividend new share classes cts payable april one holders record march prior split company paid cts quarterly today reported pct increase third quarter profits mln dlrs dlr share seven pct increase sales record mln dlrs said nine month profits declined bit mln dlrs dlrs share mln dlrs dlrs share year earlier due second quarter charge cts share restructuring beverage operations company said lower corporate tax rates restructuring expected substantially improve earnings cash flow fiscal
esquire radio electronics inc qtr,shr profit cts vs profit four cts annual div cts vs cts prior yr net profit vs profit revs vs mths shr profit cts vs loss cts net profit vs loss revs mln vs annual dividend payable april stockholders record march
shearson lehman names new managing director,shearson lehman brothers unit american express co axp said robert stearns joined company managing director merger acquisition department shearson said stearns formerly part merrill lynch pierce fenner smith mer merger acquisitions department
bankers report breakthrough venezuelan debt,venezuela bank advisory committee agreed principle revisions terms billion dlr package signed last february bankers said declined disclose details two three representatives panel still obtain approval senior management new terms committee meeting new york afternoon could put final stamp approval deal later today bankers said number details still finalized broad details new amortization schedules interest rates place one senior banker said interest rate rescheduling originally set pct eurodollar rates venezuela requested easier terms pct drop oil income last year also asked reduction repayments due make earlier request make amortizations years rebuffed sought commitment banks finance new investment venezuela breakthrough venezuelan talks going intermittently several months follows announcement earlier today billion dlr debt rescheduling pact chile bank advisory panel last night citibank said financing package including billion dlr loan signed march sudden progress extent coincidental bankers acknowledge desire chalk quick successes shock unilateral interest suspension last friday striking swift deals banks hope reduce incentive debtors emulate brazil
united presidential corp qtr net,shr cts vs cts net vs revs mln vs mln year shr dlrs vs dlrs net vs revs mln vs mln results include adjustment dlrs cts shr year periods improvement results universal life business first estimated
tower report diminishes hopes rebound,tower commission report says president reagan ignorant much iran arms deal ends prospects regaining political dominance washington political analysts said certification incompetence private political analyst stephen hess told commenting tower report made public today went professional licensing board denied credentials one direct criticisms board chairman john tower longtime reagan supporter former republican senator texas told press conference president clearly understand nature operation report lent credence widespread opinion washington reagan full command government particularly damaging prepared board republican choosing panel made tower former national security adviser brent scowcroft former secretary state edmund muskie carry partisan taint criticism congress controlled democratic party falling hand said one republican political strategist say except sorry strategist works one top presidential contenders asked identified said report like anvil falling us hess brookings institution public policy study group said report final blow hopes regaining upper hand dealings congress press washington bureaucracy report may also undermine standing defense secretary caspar weinberger secretary state george shultz report suggests interested keeping skirts clean supporting president protected record positions issue energetic attempting protect president consequences said white house chief staff donald regan former central intelligence agency director william casey also received strong criticism blows expected cases regan expected resign fired shortly savaged allegedly failing help reagan conduct iran initiative avoid chaos disclosure process casey underwent surgery removal cancerous brain tumor december already resigned health reasons last month story people came somewhat short heroes tower told reporters reagan retains considerable constitutional powers including command armed forces right veto legislation analysts say difficult retake control policy agenda particularly congress controlled democrats crucial remaining question said whether man street forsake reagan affair although job approval rating fallen much twenty percentage points opinion polls since arms deal iran became public last november personal popularity still relatively high los angeles times poll released earlier week showed pct surveyed thought reagan control government pct still thought good job president american enterprise institute analyst william schneider democrat says loss support among washington power brokers could offset continued backing public past able go around power elite appealing directly public schneider said reagan plead case way televised address next week one top republican strategist warned expecting dramatic turnaround white house avoid building expectations cannot met said strategist requested anonymity recognize quick fix analysts also point personal popularity always translated public backing policies note dramatically rebuffed last elections voters rejected appeals restored control senate democrats
january housing sales realty group says,sales previously owned homes dropped pct january seasonally adjusted annual rate mln units national association realtors nar said december rate mln units highest since record mln unit sales rate set november group said drop january surprising considering significant portion pace made sellers seeking get favorable capital gains treatment old tax laws said john tuccillo
assets of money market mutual funds rose 720.4 mln dlrs in latest week ,
u.s. tax writers seek estate tax curbs, raising 6.7 billion dlrs thru 1991 ,
senators introduce export licensing reform bill,sens alan cranston daniel evans said introduced export licensing reform legislation could save u companies hundreds thousands dollars annually emphasis decontrol items actions endanger national security eliminate department de facto veto authority licensing process cranston said reforms reduce licensing requirements pct told reporters convinced rational licensing process boost exports u export controls intended deny eastern bloc countries access technology could military capabilities refocusing control resources higher levels technology technology truly critical better job preventing diversion critical technology adversaries promoting exports cranston said cannot expect continue play leading role new technology development future unduly restrict activities u firms world evans told reporters
excelan inc sets initial stock offer,excelan inc said making initial public offering shares common stock dlrs per share excelan said mln shares sold company shares sold stockholders excelan designs manufactures products
ccx network secondary offering underway,ccx network inc said offering shares stock dlrs share though underwriters stephens inc cazenove inc company said selling stock behalf shareholders including recently received shares company exchange businesses company said receiving proceeds offering
first union files mln dlr notes issue,first union corp said filed securities exchange commission proposed offering mln dlrs fixed rate subordinated notes due notes sold nationwide underwriters managed shearson lehman brothers inc
owens minor inc raises qtly dividend,qtly div eights cts vs cts prior pay march record march
computer language research qtr,shr loss cts vs loss cts net loss vs loss revs mln vs mln qtly div three cts vs three cts prior year shr profit two cts vs profit cts net profit vs profit revs mln vs mln dividend payable april one shareholders record march
qtr net,shr cts vs cts net mln vs sales mln vs mln avg shrs vs year shr dlrs vs dlrs net mln vs mln sales mln vs mln avg shrs vs
du pont co launches improved aramid fibers,du pont co said devloped new generation aramid fibers stiffer less absorbant previous generations du pont said new product kevlar pct stiffer first generation aramids absorbs less half moister similar aramid fibers kevlar invented du pont late five times stronger steel times stronger aluminum equal wieght basis used replace metals variety products according company
standard trustco sees better year,standard trustco said expects earnings increase least pct dlrs dlrs per share recorded stable interest rates growing economy expected provide favorable conditions growth president brian told shareholders annual meeting standard trustco previously reported assets billion dlrs billion dlrs return common equity pct last year pct
handy harman qtr loss,shr loss cts vs loss three cts net loss vs loss rev mln vs mln months shr loss cts vs profit cts net loss vs profit rev mln vs mln net loss qtr includes charge restructuring mln dlrs tax cts share net loss includes tax special charge mln dlrs cts share
ico producers present new coffee proposal,international coffee organization ico producing countries present proposal reintroducing export quotas months april firm undertaking try negotiate september future quota distribution new basis ico delegates said distribution april would unchanged basis earlier producer proposal includes shortfall redistributions totalling mln bags said resumption ico contact group meeting consumers scheduled evening postponed tomorrow delegates said
shultz says resignation iran report,secretary state george shultz acknowledged failings iran arms affair declared would resign role scandal scarred reagan administration attracted harsh criticism tower commission report affair published today shultz travelling china visit refused comment directly report published left washington repeated done since crisis broke last november going resign wipe slate said
lines sets asset transfer,mclean industries united states lines inc subsidiary said agreed principle transfer south american service arranging transfer certain charters assets crowley mariotime corp american transport lines inc subsidiary u lines said negotiations contract expected completed within next week terms conditions contract would subject approval various regulatory bodies including u bankruptcy court
chemlawn rises hopes higher bids,chemlawn corp chem could attract higher bid dlrs per share offered waste management inc wnx wall street arbitrageurs said shares chemlawn shot trading mln mln shares changing hands late afternoon company could go times cash flow dlrs maybe dollars depending whether competing bidder arbitrageur said waste tender offer announced opening today expires march totally surprise said debra strohmaier chemlawn spokeswoman board held regularly scheduled meeting today discussing waste management announcement said statement expected certain would ready unable say prior contact waste management chemlawn officials think resist said elliott schlang analyst prescott ball turben inc company like surprise attack would arbitrageurs pointed difficult resist tender offers shares cash schlang said chemlawn could try find white knight want acquired waste management analyst rosemarie morbelli ingalls snyder said servicemaster companies l p svm rollins inc rol examples companies could interested chemlawn two mln customers largest u company involved application fertilizers pesticides herbicides lawns waste management involved removal wastes schlang said customer base could valuable another company wants capitalize strong residential commercial distribution system schlang morbelli noted high growth rates catapulted share price stock languished rate growth slowed schlang said profits concentrated fourth quarter chemlawn earned dlrs per share full year dlrs fourth quarter morbelli noted chemlawn competes thousands individual entrepreuers offer lawn garden care sevice
sugar imports week usda,sugar imports subject u sugar import quota week ended january initial week sugar quota year totaled short tons versus tons previous week agriculture department said sugar import quota quota year set short tons compared tons quota year extended three months december department said customs service reported weekly cumulative imports reported actual weight basis final polarizations received cumulative import data adjusted accordingly
brazil plan limps anniversary,inflation plan initially hailed home abroad saviour economy limping towards first anniversary amid soaring prices widespread shortages foreign payments crisis announced last february plan froze prices fixed value new cruzado currency ended widespread indexation economy bid halt pct inflation rate within year plan collapsed situation worse although inflation least economy worked leading bank economist said crumbling plan accompanied dramatic reversal foreign trade account annual trade surpluses sufficient cover billion dlrs needed service billion dlr foreign debt first nine months seemed target repeat monthly surpluses averaging one billion dlrs exports diverted imports increased avoid domestic shortages trade surplus plunged mln dlrs october since averaged mln
official foreign reserves fall january,new official foreign reserves fell billion n z dlrs january billion dlrs december compared billion year ago period reserve bank said weekly statistical bulletin
agency reports ships waiting panama canal,panama canal commission u government agency said daily operations report backlog ships waiting enter canal early today next two days expects scheduled average waiting time tomorrow super tankers regular vessels north hrs hrs south hrs hrs
america first mortgage sets special payout,america first federally guaranteed mortgage fund two said making special distribution cts per exchangeable unit includes cts return capital cts income gains
republicans eye bigger conservation reserve,group republican governors members congress said intended explore expanding conservation reserve program mln acres current law mln acres erodible land must enrolled program end fiscal republican task force farm rural america headed senate majority leader robert dole kan said would consider drafting legislation increase reserve mln acres sen charles grassley told would offer bill expand reserve mln acres
arvin inds promotes evans president,arvin industries inc said l k evans elected president succeeding james baker remains chairman evans executive vice president
emhart corp qtly dividend,qtly div cts vs cts prior payable march record march nine
data point capital spending slowdown,surprise pct drop u january durable goods orders points slowdown capital spending could presage lackluster real growth u economy first quarter economists said total orders excluding volatile defense sector falling record pct economists agreed report painted bleak picture u economy stressed tax reform laws may primary factor behind drop orders business capital investment rather gloomy outlook economy said david wyss data resources inc particularly impressed pct drop capital goods orders may sign businesses reacting adversely tax reform thought commerce department pointed record pct decline new orders machinery led declines office computing equipment orders economists said drop computer orders may response lengthening depreciation schedules end investment tax credit new tax laws expensive invest used people much wyss said increases durable goods orders end reinforced view businesses anticipated changing tax laws economists said november durable goods orders rose pct increased pct revised upwards previously reported pct acknowledged huge january drop caused tax reform took place january far greater actual gains took place november december said bill sullivan dean witter reynolds inc economy weakening bent early year report definitely points sluggish capital spending next couple quarters said donald maude midland montagu capital markets inc maude pointed continuing decline order backlogs evidence outlook new orders improving november order backlogs rose pct december fell pct january pct said suggests orders pipeline depleting may quickly translate drop production midland maude said wyss cautioned much made report given reports reflected strength acknowledged decline occurred despite pct rise defense orders compared pct decline december also noted pct drop january shipments compared pct rise december given numbers reason fed tighten data wyss said reason ease unless see numbers like fed wait see added sullivan predicted fed ease easter people talking recession fed easing fed ease ensure global growth
senators introduce export licensing reform bill,sens alan cranston daniel evans said introduced export licensing reform legislation could save u companies hundreds thousands dollars annually emphasis decontrol items actions endanger national security eliminate department de facto veto authority licensing process cranston said reforms reduce licensing requirements pct told reporters convinced rational licensing process boost exports u export controls intended deny eastern bloc countries access technology could military capabilities refocusing control resources higher levels technology technology truly critical better job preventing diversion critical technology adversaries promoting exports cranston said cannot expect continue play leading role new technology development future unduly restrict activities u firms world evans told reporters
international cites strong prospects,international inc reporting operating loss january second quarter said prospects balance fiscal year remain good said orders harris graphics subsidiary acquired june continue run strong pace six months orders rose pct corresponding period annualized basis running mln dlrs backlog harris pct beginning fiscal year said international said old division expected benefit recent new product introductions decline value dollar research development engineering expenditures fiscal mln dlr range company said allocated another mln dlrs capital expenditures earlier reported fourth quarter operating loss two cts share compared profits seven cts share year ago revenues rose mln dlrs mln dlrs
ccc credits honduras switched white corn,commodity credit corporation ccc announced mln dlrs credit guarantees previously earmarked cover sales dry edible beans honduras switched cover sales white corn u agriculture department said department said action reduces coverage sales dry edible beans dlrs creates new line mln dlrs sales white corn sales credit guarantee line must registered shipped september said
assets money funds rose week,assets money market mutual funds increased mln dlrs week ended yesterday billion dlrs investment company institute said assets institutional funds rose mln dlrs billion dlrs general purpose funds rose mln dlrs billion dlrs funds rose mln dlrs billion dlrs
gulf barge freight rates call,gulf barge freight rates firmed outlook steady vessel loadings gulf increasing demand barges supply ships dealers said barges traded today st louis exchange call session versus yesterday quotes included delivery week illinois river joliet pct tariff bid offered next week river ex chicago quoted percentage points next week mississippi river st louis pct bid offered five points next week ohio river owensboro south pct bid offered points station illinois river south chicago pct bid offered comparison march illinois ex chicago pct bid offered points march ohio river bid traded level pct offered march lower mississippi river memphis cairo pct bid offered comparison may illinois river ex chicago pct bid offered comparison sept nov lower mississippi river memphis cairo pct bid offered sept dec section pct bid offered comparison
argentina could suspend debt payments deputy,argentina could suspend payments foreign debt creditor banks reject billion dlr loan request meet growth targets ruling radical party deputy raul baglini told local radio station argentina discard use moratorium negotiations produce result guarantees growth country added baglini observer negotiations new york steering committee creditors banks told radio del plata telephone interview banks divided loan request baglini said result scheduled second day talks postponed said argentina prepared follow example brazil last week declared moratorium interest payments large portion billion dlr foreign debt prime objective renegotiating debt maintain growth targeted four pct baglini said debtor nations take pockets commercial balance meet interest payments added
key tax writers seek estate tax curbs,chairmen senior republican members house senate tax writing committees proposed legislation curb estate tax deduction sales stock employee stock ownership plan proposal would raise federal revenues billion dlrs fiscal year period adopted congress would effect transactions sept plan proposed house ways means committee chairman dan rostenkowski rep john duncan senate finance committee chairman lloyd bentsen sen bob packwood statement rostenkowski said estate tax deduction enacted last year part tax reform bill broad would cost governmet seven billion dlrs four years narrower deduction would cost government less mln dlrs years said designed avoid sham transactions allowed estates avoid taxes transferring stock esops senate finance committee chairman lloyd bentsen said statement tax reform act contains provision allows many wealthy individuals avoid federal estate tax entirely die added provision intended encourage estates sell stock employee stock ownership plans way promoting worker ownership however provision meant broad enough reduce federal revenues much currently estimated added bill introduced today calls modification provision accordance intended purpose
treasury balances fed rose feb,treasury balances federal reserve rose feb billion dlrs billion dlrs previous business day treasury said latest budget statement balances tax loan note accounts fell billion dlrs billion dlrs respective days operating cash balance totaled billion dlrs feb compared billion dlrs feb
wilson seeks temporary borrowing,canadian finance minister michael wilson said use temporary authority financial administration act borrow additional mln dlrs next treasury bill auction statement wilson said action would permit government proceed debt program period sufficient borrowing authority granted parliament cover needs ottawa announced previously seeking parliamentary approval additional authority cover financing increase foreign reserves
gulf applied sells sees gain,gulf applied technologies inc said sold pipeline terminal operations units mln dlrs record gain mln dlrs first quarter added federal taxes owed transaction offset operating loss carryovers
farmers group inc qtr net,shr cts vs cts net vs revs mln vs mln year shr dlrs vs dlrs net vs revs billion vs mln avg shrs vs
potomac electric power co jan net,shr cts vs cts net vs revs vs avg shrs mln vs mln mths shr dlrs vs dlrs net vs revs billion vs billion avg shr mln vs mln latest mths net includes gain cts per share sale virginia service territory dominion resources inc
springboard deal,springboard software inc said signed contract international technology development corp provide software designers programmers project supervisors technical support personnel springboard international technology based san francisco shanghai china employs chinese computer specialists
buys gulfex undisclosed amount,cofab inc said acquired gulfex inc fabricator custom process vessels energy petrochemical industries cofab said group companies manufacture specialized cooling lubricating systems oil gas petrochemical utility pulp paper marine industries
weekly soybean crush bushels,reporting members national soybean processors association nspa crushed bushels soybeans week ended feb compared bushels previous week week association said said total crushing capacity members bushels vs last week bushels last year nspa also said u soybean meal exports week tonnes vs tonnes week ago compared tonnes week nspa said figures include nspa member firms
schult homes offering priced five,underwriters said initial offering schult homes corp units made five dlrs per unit underwriters managed janney montgomey scott inc woolcott co inc said unit consits one common share one warrant purchase common share dlrs per share september one thereafter dlrs per share march underwriters granted option units said company use proceeds pay portion subordinated note payable inland steel urban development corp issued connection acquisition schult inland based elkhart ind schult oldest manufactured home producer
tultex corp sets quarterly dividend,qtly div eights cts vs eight cts prior pay april one record march
burlington gets mln dlr contract,burlington menswear new york city division burlington industries inc received mln dlr defense contract mln yards tropical cloth defense logistics agency said
rockwell gets mln dlr contract,rockwell international corp received mln dlr contract work bomber current fiscal year air force said
atico financial corp qtr net,shr cts vs dlrs net vs mln revs mln vs mln year shr cts vs dlrs net vs mln revs mln vs mln qtr yr amounts include acquisition pct common atico formerly peninsula federal savings loan association january qtr yr net include net gain mln dlrs dlrs per share exchange common pan america banks inc common ncnb corp purusant merger companies
ico exporters modify new proposal,international coffee organization ico exporters modify new proposal quota resumption presenting importers tomorrow ico delegates said change discussed tonight informally among producers follows talks formal producer session producer splinter group affect proposed quota distribution months april one said proposed would still include shortfall declarations said
u.s. commercial paper falls 375 mln dlrs in feb 18 week, fed says ,
n.y. business loans fall 195 mln dlrs in feb 18 week, fed says ,
new york bank discount window borrowings 64 mln dlrs in feb 25 week ,
quebecor head sees new ventures likely,quebecor inc one largest publishing printing companies likely launch new daily newspaper montreal probably fall president pierre peladeau told interview company last week bid buy quebec pct interest pulp paper company donohue inc also likely go ahead plans build new paper mill matane quebec peladeau said would say move ahead daily definite think said adding plans announce decision early next week quebecor revenues mln canadian dlrs last year profit mln dlrs already publishes three daily newspapers including tabloid le journal de montreal circulation paper canada new daily would give montreal second language paper sixth daily newspaper making city crowded metropolitan newspaper market north america analysts said peladeau said market studies indicated new english language tabloid would circulation within six months said waiting determine whether new venture would support major advertisers peladeau together family members owns pct quebecor said recieved offers heads two major canadian companies interested project decided whether would take partners newspaper venture said would consider launching newspaper one companies prelude joint ventures would possibility something else short term peladeau said peladeau said joint acquisition donohue robert british printing communications corp plc bpcl l mean quebecor hold projects peladeau companies teamed buy stake donohue resulted quebecor buying pct stake mln canadian dlrs british printing acquiring pct tremendous shortage newsprint days enough paper print paper peladeau said lived said next time ready peladeau said current total newsprint capacity however already committed buyers quebecor uses metric tons newsprint year company publishes daily mirror newspaper uses tonnes peladeau said even new mln dlr paper machine pct owned new york times nyt adding metric tonne capacity fall companies install another paper machine amos quebec build another mill meet demands said new mill would produce either newsprint types paper would cost mln dlrs could stream two years said mill matane depressed area high unemployment would heavily subsidized government peladeau said interested joint ventures company either newspaper market france u company owns two large printing plants looking expand newspaper empire said sons french citizens would provide entree french market foreigners prevented buying newspapers peladeau said would consider either buying starting daily newspapers france u quebecor also process expanding chain weekly newspapers possible acquisition two groups weekly newspapers u negotiating acquisition two weekly newspaper chains canada peladeau said said company may consider starting daily newspapers two small quebec cities buying radio stations province peladeau said quebecor may also consider trading listing american stock exchange new york stock exchange listing
new york business loans fall mln dlrs,commercial industrial loans books major new york banks excluding acceptances fell mln dlrs billion week ended february federal reserve bank new york said including acceptances loans declined mln dlrs billion commercial paper outstanding nationally dropped mln dlrs billion national business loan data scheduled released friday
bank discount borrowings mln dlrs,eight major new york city banks mln dlrs average borrowings federal reserve week wednesday february fed spokesman said week marked second half bank statement period ended wednesday banks borrowings prior week commenting latest week fed spokesman said borrowing occurred yesterday done fewer half banks national data discount window borrowings due released est gmt
philippine long distance year net,shr primary pesos vs pesos shr diluted pesos vs pesos qtly div pesos vs pesos net billion vs mln revs billion vs billion full name philippine long distance telephone co figures quoted philippine pesos dividend payable april holders record march exchange rate day dividend declaration pesos per dollar
liberty equity fund initial div,qtly div five cts vs n payable april two record march dividend includes special two cts per share period beginning commencement operations novebmer three december
columbia gas system inc redeems debentures,columbia gas systems inc said redeem mln dlrs principal amount pct debentures series due may five mln dlrs principal amount pct debentures series due may company said redeeming debentures meet mandatory sinking fund requirements addition columbia said call optional sinking fund redemption may mln dlrs principal amount debentures mln dlrs pct debentures
combustion engineering inc regular div,qtly div cts vs cts prior pay april record april
